Server_IP	Test_IP
205.251.192.191	52.46.93.210
40.90.4.6	104.44.11.4
205.251.193.237	52.46.95.134
205.251.193.65	149.11.174.210
205.251.192.8	149.11.175.50
193.108.91.69	80.81.192.168
205.251.192.233	52.46.95.88
205.251.192.110	149.11.175.50
205.251.197.201	52.93.11.165
205.251.192.188	52.46.95.110
94.23.94.34	94.23.122.240
205.251.192.218	52.46.93.216
216.92.151.254	173.205.47.214
205.251.193.56	52.46.95.136
205.251.192.185	52.46.93.210
205.251.196.151	52.93.11.157
205.251.193.205	149.11.175.50
205.251.192.142	52.46.93.212
205.251.192.106	52.46.95.88
205.251.192.22	149.11.174.210
205.251.192.28	52.46.95.110
205.251.192.219	52.46.95.88
213.251.128.149	94.23.122.240
205.251.192.111	52.46.93.210
205.251.192.58	149.11.174.210
205.251.192.76	52.46.95.136
205.251.193.196	149.11.174.210
205.251.193.235	52.46.93.210
205.251.193.103	52.46.93.214
205.251.192.102	149.11.175.50
95.100.174.67	195.22.209.198
95.100.174.64	195.22.209.198
203.104.137.1	27.111.228.165
205.251.193.20	52.46.95.94
205.251.192.168	52.46.95.112
173.245.58.51	110.93.252.198
205.251.192.37	149.11.174.210
108.162.192.229	110.93.252.198
205.251.192.117	149.11.175.50
205.251.193.63	149.11.175.50
205.251.192.163	52.46.93.216
207.204.40.141	64.69.216.30
205.251.193.14	149.11.174.210
205.251.192.246	149.11.175.50
205.251.193.1	52.46.95.88
205.251.193.142	52.46.93.212
205.251.192.47	52.46.93.216
205.251.193.10	149.11.175.50
205.251.192.190	52.46.95.110
104.225.43.1	110.93.252.198
205.251.193.185	52.46.95.78
205.251.193.149	52.46.95.120
205.251.193.126	52.46.95.104
205.251.192.198	52.46.93.210
205.251.193.143	149.11.174.210
205.251.193.21	149.11.174.210
205.251.192.150	52.46.95.102
205.251.192.186	52.46.93.214
205.251.192.2	52.46.95.96
205.251.192.90	52.46.93.212
205.251.193.110	149.11.175.50
205.251.193.210	52.46.93.214
205.251.193.16	52.46.95.88
205.251.193.9	149.11.174.210
205.251.192.174	149.11.175.50
205.251.193.232	149.11.174.210
205.251.192.206	52.46.93.212
205.251.192.19	52.46.93.216
205.251.193.242	52.46.95.86
205.251.192.220	52.46.93.212
205.251.193.59	52.46.93.210
205.251.192.181	52.46.95.136
205.251.192.234	52.46.93.210
205.251.192.230	149.11.175.50
205.251.193.90	52.46.95.96
205.251.192.157	52.46.93.214
205.251.193.37	52.46.93.212
185.136.98.168	27.111.228.86
205.251.192.240	52.46.93.212
217.20.155.93	80.81.194.112
125.209.248.6	27.111.228.165
63.150.72.4	208.168.135.154
205.251.196.118	52.93.11.157
205.251.192.145	52.46.95.96
173.199.96.96	27.111.229.119
205.251.192.140	52.46.93.210
205.251.193.199	52.46.93.212
205.251.194.27	52.93.69.189
205.251.193.91	52.46.93.210
205.251.195.76	52.93.69.199
205.251.192.81	149.11.174.210
104.225.39.1	110.93.252.146
205.251.193.46	149.11.175.50
205.251.197.209	52.93.11.169
205.251.193.202	52.46.95.134
205.251.195.9	52.93.69.185
205.251.193.160	149.11.174.210
108.162.193.123	110.93.252.198
205.251.192.93	52.46.93.214
205.251.193.234	52.46.95.94
205.251.193.86	52.46.95.110
205.251.192.178	52.46.95.120
205.251.193.42	52.46.93.212
205.251.192.10	149.11.175.50
205.251.195.19	52.93.69.189
205.251.197.25	52.93.11.163
205.251.192.166	52.46.93.212
205.251.192.205	52.46.93.212
205.251.193.35	52.46.95.136
205.251.192.120	52.46.95.102
205.251.192.122	52.46.93.210
205.251.193.25	149.11.175.50
193.231.236.10	62.67.18.62
205.251.193.244	52.46.95.104
205.251.193.186	149.11.175.50
195.8.214.2	129.250.2.74
205.251.192.143	52.46.93.216
205.251.192.32	149.11.175.50
205.251.192.221	149.11.175.50
205.251.192.18	52.46.93.212
205.251.193.32	52.46.95.78
205.251.193.133	52.46.93.216
205.251.192.7	52.46.95.86
205.251.192.175	149.11.174.210
205.251.193.120	149.11.175.50
205.251.192.89	149.11.175.50
205.251.193.159	52.46.95.86
205.251.193.38	149.11.174.210
205.251.192.35	52.46.95.104
205.251.192.108	52.46.95.94
205.251.194.95	52.93.69.193
205.251.192.17	149.11.175.50
205.251.192.183	52.46.95.104
205.251.193.148	52.46.95.94
205.251.192.30	52.46.95.120
205.251.193.115	149.11.174.210
205.251.193.83	52.46.95.96
205.251.194.175	52.93.69.191
45.54.54.1	149.11.141.234
205.251.193.227	52.46.93.216
205.251.193.228	52.46.93.216
205.251.192.20	149.11.175.50
