Server_IP	Test_IP
23.74.25.64	27.111.228.250
108.162.192.149	27.111.228.132
162.88.2.12	162.88.69.14
108.162.192.138	27.111.228.132
108.162.192.78	27.111.228.132
108.162.193.71	27.111.228.132
198.51.44.6	202.126.129.154
193.108.91.250	80.81.192.168
173.245.58.112	27.111.228.132
23.61.199.67	80.231.153.218
108.162.192.122	27.111.228.132
156.154.132.200	195.229.29.158
173.245.59.156	27.111.228.132
108.162.192.225	27.111.228.132
172.64.33.106	27.111.228.132
162.159.0.73	27.111.228.132
208.94.148.2	27.111.229.252
128.227.30.254	128.227.30.225
208.80.124.2	27.111.229.252
193.108.91.87	80.81.192.168
108.162.195.65	27.111.228.132
108.162.193.108	27.111.228.132
193.108.91.95	80.81.192.168
108.162.193.235	27.111.228.132
108.162.192.154	27.111.228.132
108.162.193.132	27.111.228.132
108.162.193.104	27.111.228.132
140.205.122.66	11.175.165.153
140.98.193.128	140.98.210.1
95.100.173.64	80.81.195.168
108.162.193.100	27.111.228.132
198.51.44.8	202.126.129.154
108.162.192.213	27.111.228.132
108.162.193.125	27.111.228.132
108.162.193.146	27.111.228.132
108.162.193.147	27.111.228.132
108.162.192.85	27.111.228.132
108.162.193.157	27.111.228.132
193.108.91.7	80.81.192.168
172.64.32.159	27.111.228.132
45.79.220.61	74.207.239.21
108.162.193.135	27.111.228.132
130.156.133.30	130.156.33.33
172.64.32.207	27.111.228.132
108.162.192.87	27.111.228.132
193.108.91.32	80.81.192.168
172.64.33.125	27.111.228.132
108.162.192.96	27.111.228.132
198.51.44.5	202.126.129.154
108.162.193.98	27.111.228.132
198.51.44.7	202.126.129.154
173.245.58.203	27.111.228.132
67.228.255.5	174.133.118.135
198.181.116.9	27.111.228.209
208.94.148.4	27.111.229.252
173.245.59.121	27.111.228.132
108.162.192.66	27.111.228.132
108.162.193.145	27.111.228.132
108.162.193.106	27.111.228.132
108.162.193.109	27.111.228.132
108.162.193.216	27.111.228.132
172.64.33.127	27.111.228.132
108.162.192.115	27.111.228.132
108.162.193.120	27.111.228.132
208.78.70.14	162.88.69.15
173.245.58.90	27.111.228.132
108.162.192.135	27.111.228.132
108.162.192.148	27.111.228.132
108.162.193.144	27.111.228.132
172.64.32.120	27.111.228.132
108.162.193.153	27.111.228.132
213.180.204.213	80.81.192.251
108.162.192.72	27.111.228.132
193.108.91.2	80.81.192.168
173.245.59.111	27.111.228.132
108.162.192.147	27.111.228.132
173.233.156.1	188.42.201.1
108.162.193.163	27.111.228.132
108.162.193.107	27.111.228.132
108.162.193.111	27.111.228.132
162.159.5.225	27.111.228.132
96.45.80.1	27.111.229.252
198.51.44.9	202.126.129.154
108.162.192.161	27.111.228.132
173.245.59.124	27.111.228.132
108.162.192.136	27.111.228.132
207.218.247.135	67.228.118.211
172.64.33.164	27.111.228.132
108.162.193.103	27.111.228.132
172.64.35.150	27.111.228.132
23.211.133.64	27.111.228.250
172.64.33.78	27.111.228.132
173.245.58.101	27.111.228.132
23.61.199.64	80.231.153.218
173.245.59.132	27.111.228.132
108.162.192.244	27.111.228.132
108.162.193.150	27.111.228.132
195.206.121.11	80.81.193.119
108.162.192.119	27.111.228.132
172.64.32.101	27.111.228.132
208.78.70.21	162.88.69.9
108.162.192.128	27.111.228.132
194.187.247.138	212.154.217.126
208.78.70.3	162.88.69.8
108.162.193.225	27.111.228.132
128.114.100.100	128.114.1.229
108.162.193.142	27.111.228.132
108.162.193.201	27.111.228.132
108.162.192.97	27.111.228.132
208.80.127.2	27.111.229.252
108.162.192.70	27.111.228.132
108.162.192.91	27.111.228.132
118.151.254.133	100.65.31.46
108.162.192.145	27.111.228.132
172.64.33.65	27.111.228.132
108.162.192.118	27.111.228.132
108.162.193.185	27.111.228.132
108.162.192.94	27.111.228.132
208.78.70.27	162.88.69.14
172.64.32.139	27.111.228.132
108.162.192.109	27.111.228.132
193.108.91.14	80.81.192.168
193.108.91.17	80.81.192.168
193.108.91.34	80.81.192.168
23.235.32.32	27.111.228.34
208.78.70.31	162.88.69.8
108.162.192.100	27.111.228.132
192.16.16.5	152.195.196.131
172.64.32.175	27.111.228.132
198.181.116.5	27.111.228.209
108.162.192.243	27.111.228.132
208.80.126.13	27.111.229.252
172.64.33.147	27.111.228.132
108.162.193.102	27.111.228.132
108.162.193.110	27.111.228.132
108.162.194.45	27.111.228.132
198.51.44.4	202.126.129.154
208.80.126.4	27.111.229.252
108.162.193.126	27.111.228.132
108.162.193.211	27.111.228.132
108.162.192.112	27.111.228.132
108.162.192.107	27.111.228.132
108.162.193.197	27.111.228.132
108.162.193.72	27.111.228.132
193.108.91.68	80.81.192.168
193.108.91.63	80.81.192.168
172.64.32.106	27.111.228.132
185.42.137.111	81.19.110.46
78.140.183.199	195.22.213.53
108.162.193.95	27.111.228.132
108.162.193.78	27.111.228.132
89.44.169.136	89.44.169.166
108.162.192.127	27.111.228.132
208.78.70.6	162.88.69.8
