Domain	Server_IP	Test_IP
etoro.com	23.74.25.64	27.111.228.250
letsrun.com	108.162.192.149	27.111.228.132
airbnb.fr	162.88.2.12	162.88.69.14
oneplus.com	205.251.192.191	52.46.93.210
kickasstorrents.to	108.162.192.138	27.111.228.132
goat.com	108.162.192.78	27.111.228.132
stardewvalleywiki.com	108.162.193.71	27.111.228.132
geforce.com	198.51.44.6	202.126.129.154
java.com	193.108.91.250	80.81.192.168
glosbe.com	40.90.4.6	104.44.11.4
agar.io	173.245.58.112	27.111.228.132
fast.com	23.61.199.67	80.231.153.218
windowscentral.com	108.162.192.122	27.111.228.132
thecrazytourist.com	156.154.132.200	195.229.29.158
arstechnica.com	205.251.193.237	52.46.95.134
toneden.io	173.245.59.156	27.111.228.132
sherdog.com	108.162.192.225	27.111.228.132
metacritic.com	205.251.193.65	149.11.174.210
giphy.com	205.251.192.8	149.11.175.50
3djuegos.com	193.108.91.69	80.81.192.168
topcashback.co.uk	205.251.192.233	52.46.95.88
lifehacker.com	205.251.192.110	149.11.175.50
coursera.org	205.251.197.201	52.93.11.165
zoopla.co.uk	205.251.192.188	52.46.95.110
hardreset.info	94.23.94.34	94.23.122.240
videoblocks.com	205.251.192.218	52.46.93.216
poe.trade	172.64.33.106	27.111.228.132
calculatorsoup.com	216.92.151.254	173.205.47.214
rte.ie	162.159.0.73	27.111.228.132
emuparadise.me	208.94.148.2	27.111.229.252
bose.com	205.251.193.56	52.46.95.136
ufl.edu	128.227.30.254	128.227.30.225
tomshardware.com	205.251.192.185	52.46.93.210
bandicam.com	208.80.124.2	27.111.229.252
hbr.org	205.251.196.151	52.93.11.157
xing.com	193.108.91.87	80.81.192.168
uploaded.net	108.162.195.65	27.111.228.132
ojooo.com	108.162.193.108	27.111.228.132
llbean.com	193.108.91.95	80.81.192.168
lovetoknow.com	205.251.193.205	149.11.175.50
pcgamer.com	205.251.192.142	52.46.93.212
pcmag.com	108.162.193.235	27.111.228.132
theage.com.au	205.251.192.106	52.46.95.88
rawstory.com	108.162.192.154	27.111.228.132
unacademy.com	205.251.192.22	149.11.174.210
gamepedia.com	108.162.193.132	27.111.228.132
prepscholar.com	108.162.193.104	27.111.228.132
beforward.jp	205.251.192.28	52.46.95.110
umeng.com	140.205.122.66	11.175.165.153
ieee.org	140.98.193.128	140.98.210.1
nhl.com	95.100.173.64	80.81.195.168
twitch.tv	205.251.192.219	52.46.95.88
clipconverter.cc	213.251.128.149	94.23.122.240
chess.com	205.251.192.111	52.46.93.210
asianwiki.com	108.162.193.100	27.111.228.132
turnitin.com	205.251.192.58	149.11.174.210
tripadvisor.jp	198.51.44.8	202.126.129.154
yle.fi	205.251.192.76	52.46.95.136
fontawesome.com	205.251.193.196	149.11.174.210
greenhouse.io	205.251.193.235	52.46.93.210
audacityteam.org	108.162.192.213	27.111.228.132
tp-link.com	205.251.193.103	52.46.93.214
clickfunnels.com	108.162.193.125	27.111.228.132
androidmtk.com	108.162.193.146	27.111.228.132
soft32.com	205.251.192.102	149.11.175.50
petapixel.com	108.162.193.147	27.111.228.132
prettylittlething.com	95.100.174.67	195.22.209.198
poki.com	108.162.192.85	27.111.228.132
wnd.com	108.162.193.157	27.111.228.132
johnlewis.com	193.108.91.7	80.81.192.168
avito.ru	172.64.32.159	27.111.228.132
