tcp-traceroute from 77.243.183.221 to 95.216.247.80
 1  77.243.183.129  0.351 ms ICMP
 2  37.120.128.253  0.358 ms ICMP
 3  213.133.113.5  0.734 ms ICMP
 4  213.239.245.126  14.970 ms ICMP
 5  213.239.224.154  27.884 ms ICMP
 6  213.239.224.146  25.835 ms ICMP
 7  95.216.247.80  26.071 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 151.101.65.171
 1  77.243.183.129  0.348 ms ICMP
 2  37.120.128.253  0.252 ms ICMP
 3  80.81.195.55  0.430 ms ICMP
 4  151.101.65.171  0.379 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 82.165.229.87
 1  77.243.183.129  0.264 ms ICMP
 2  37.120.128.253  0.282 ms ICMP
 3  80.81.192.123  1.016 ms ICMP
 4  212.227.120.147  6.708 ms ICMP
 5  212.227.121.212  7.804 ms ICMP
 6  82.165.229.87  7.026 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 151.101.1.195
 1  77.243.183.129  0.347 ms ICMP
 2  37.120.128.253  0.783 ms ICMP
 3  80.81.195.54  0.541 ms ICMP
 4  151.101.1.195  0.588 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 163.44.191.95
 1  77.243.183.129  0.669 ms ICMP
 2  213.198.52.61  0.902 ms ICMP
 3  129.250.2.24  1.244 ms ICMP
 4  129.250.6.1  0.658 ms ICMP
 5  129.250.6.54  80.314 ms ICMP
 6  129.250.2.166  96.856 ms ICMP
 7  129.250.2.27  97.697 ms ICMP
 8  129.250.5.17  147.187 ms ICMP
 9  129.250.3.147  148.190 ms ICMP
10  129.250.5.77  238.949 ms ICMP
11  129.250.5.22  252.560 ms ICMP
12  129.250.6.129  266.208 ms ICMP
13  203.105.72.246  250.273 ms ICMP
14  133.130.12.58  253.076 ms ICMP
15  210.157.9.210  254.794 ms ICMP
16  157.7.41.218  259.637 ms ICMP
17  163.44.191.95  264.172 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 151.101.194.217
 1  77.243.183.129  0.474 ms ICMP
 2  37.120.128.253  0.291 ms ICMP
 3  80.81.195.55  0.973 ms ICMP
 4  151.101.194.217  0.712 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 172.67.134.151
 1  77.243.183.129  0.452 ms ICMP
 2  37.120.128.226  9.476 ms ICMP
 3  195.42.144.143  10.627 ms ICMP
 4  172.67.134.151  9.724 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.27.166.106
 1  77.243.183.129  0.392 ms ICMP
 2  37.120.128.249  9.320 ms ICMP
 3  37.120.128.129  9.240 ms ICMP
 4  195.42.144.143  10.653 ms ICMP
 5  104.27.166.106  10.615 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 151.101.192.155
 1  77.243.183.129  0.418 ms ICMP
 2  37.120.128.253  0.277 ms ICMP
 3  80.81.195.55  0.523 ms ICMP
 4  151.101.192.155  1.072 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 139.45.195.41
 1  77.243.183.129  0.276 ms ICMP
 2  37.120.128.253  0.296 ms ICMP
 3  87.245.236.148  0.567 ms ICMP
 4  87.245.234.113  13.611 ms ICMP
 5  89.19.36.65  7.104 ms ICMP
 6  139.45.195.41  6.375 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.17.165.41
 1  77.243.183.129  0.322 ms ICMP
 2  37.120.128.249  9.378 ms ICMP
 3  37.120.128.129  9.398 ms ICMP
 4  195.42.144.143  10.331 ms ICMP
 5  104.17.165.41  10.600 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 137.208.57.37
 1  77.243.183.129  0.278 ms ICMP
 2  176.10.82.103  43.628 ms ICMP
 3  82.102.29.23  11.775 ms ICMP
 4  92.60.0.61  16.290 ms ICMP
 5  81.16.152.14  13.416 ms ICMP
 6  193.171.13.18  12.755 ms ICMP
 7  137.208.9.41  12.046 ms ICMP
 8  137.208.57.37  12.514 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 192.0.66.88
 1  77.243.183.129  0.304 ms ICMP
 2  37.120.128.253  0.747 ms ICMP
 3  80.81.193.69  0.774 ms ICMP
 4  192.0.66.88  0.786 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 23.34.190.140
 1  77.243.183.129  0.254 ms ICMP
 2  *
 3  4.69.162.177  7.541 ms ICMP
 4  212.72.47.190  7.909 ms ICMP
 5  23.210.55.40  88.766 ms ICMP
 6  23.210.56.39  86.172 ms ICMP
 7  23.210.56.131  7.473 ms ICMP
 8  23.34.190.140  8.266 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 118.102.1.119
 1  77.243.183.129  0.264 ms ICMP
 2  37.120.128.253  0.295 ms ICMP
 3  *
 4  10.246.112.32  16.209 ms ICMP
 5  213.137.140.129  173.809 ms ICMP
 6  113.171.17.122  175.443 ms ICMP
 7  113.171.250.170  179.939 ms ICMP
 8  113.171.250.165  176.890 ms ICMP
 9  118.102.0.208  177.087 ms ICMP
10  118.102.0.142  174.823 ms ICMP
11  118.102.1.119  178.244 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 209.251.59.181
 1  77.243.183.129  0.304 ms ICMP
 2  213.248.84.210  0.388 ms ICMP
 3  62.115.142.46  105.474 ms ICMP
 4  62.115.123.13  99.624 ms ICMP
 5  62.115.123.68  102.621 ms ICMP
 6  *
 7  62.115.113.87  99.891 ms ICMP
