tcp-traceroute from 23.81.71.154 to 95.216.247.80
 1  23.81.71.129  0.152 ms ICMP
 2  172.241.166.188  0.374 ms ICMP
 3  173.208.113.6  0.714 ms ICMP
 4  62.115.36.64  2.862 ms ICMP
 5  80.91.246.85  108.374 ms ICMP
 6  62.115.183.185  105.642 ms ICMP
 7  213.239.224.26  102.363 ms ICMP
 8  213.239.224.146  105.219 ms ICMP
 9  95.216.247.80  106.359 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 151.101.65.171
 1  23.81.71.129  0.218 ms ICMP
 2  172.241.166.188  0.395 ms ICMP
 3  173.208.113.6  0.850 ms ICMP
 4  38.122.158.197  1.922 ms ICMP
 5  38.104.44.122  1.664 ms ICMP
 6  151.101.65.171  1.061 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 82.165.229.87
 1  23.81.71.129  0.139 ms ICMP
 2  172.241.166.189  0.361 ms ICMP
 3  173.208.113.0  0.574 ms ICMP
 4  62.115.36.54  3.031 ms ICMP
 5  82.165.229.87  84.440 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 186.2.163.90
 1  23.81.71.129  0.124 ms ICMP
 2  172.241.166.189  0.263 ms ICMP
 3  173.208.113.4  0.684 ms ICMP
 4  62.115.36.64  3.631 ms ICMP
 5  186.2.163.90  62.624 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 163.44.191.95
 1  23.81.71.129  0.113 ms ICMP
 2  172.241.166.189  0.461 ms ICMP
 3  173.208.113.0  0.311 ms ICMP
 4  66.198.111.224  0.961 ms ICMP
 5  216.6.87.42  163.583 ms ICMP
 6  216.6.87.111  163.917 ms ICMP
 7  64.86.252.217  162.417 ms ICMP
 8  120.29.211.2  163.140 ms ICMP
 9  120.29.217.66  167.632 ms ICMP
10  120.29.217.2  167.604 ms ICMP
11  133.208.191.156  170.189 ms ICMP
12  133.208.55.50  170.792 ms ICMP
13  133.130.15.93  214.441 ms ICMP
14  133.130.12.58  210.766 ms ICMP
15  210.157.9.210  210.513 ms ICMP
16  157.7.41.218  210.363 ms ICMP
17  163.44.191.95  228.302 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 190.220.57.135
 1  23.81.71.129  0.112 ms ICMP
 2  172.241.166.188  0.373 ms ICMP
 3  173.208.113.6  0.720 ms ICMP
 4  62.115.36.64  3.847 ms ICMP
 5  190.220.57.135  155.737 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 104.16.208.71
 1  23.81.71.129  0.116 ms ICMP
 2  172.241.166.189  0.457 ms ICMP
 3  173.208.113.4  1.666 ms ICMP
 4  66.198.70.178  1.242 ms ICMP
 5  216.6.57.6  1.130 ms ICMP
 6  66.198.70.2  57.579 ms ICMP
 7  104.16.208.71  62.403 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 104.27.132.58
 1  23.81.71.129  0.112 ms ICMP
 2  172.241.166.189  0.344 ms ICMP
 3  173.208.113.0  0.474 ms ICMP
 4  66.198.111.224  0.898 ms ICMP
 5  66.198.70.2  75.076 ms ICMP
 6  104.27.132.58  70.627 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 45.60.101.212
 1  23.81.71.129  0.112 ms ICMP
 2  172.241.166.189  1.513 ms ICMP
 3  173.208.113.0  0.765 ms ICMP
 4  66.198.111.224  1.025 ms ICMP
 5  63.243.216.5  1.995 ms ICMP
 6  66.110.96.5  1.932 ms ICMP
 7  4.68.39.49  1.966 ms ICMP
 8  4.69.151.109  15.074 ms ICMP
 9  4.16.52.154  16.291 ms ICMP
10  45.60.101.212  26.353 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 151.101.1.195
 1  *
 2  172.241.166.188  0.446 ms ICMP
 3  173.208.113.6  1.982 ms ICMP
 4  38.122.158.197  1.586 ms ICMP
 5  38.104.44.122  1.715 ms ICMP
 6  151.101.1.195  0.904 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 129.237.11.76
 1  *
 2  172.241.166.189  0.391 ms ICMP
 3  173.208.113.0  0.668 ms ICMP
 4  62.115.36.54  3.116 ms ICMP
 5  129.237.11.76  31.667 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 23.34.190.140
 1  *
 2  172.241.166.189  0.375 ms ICMP
 3  173.208.113.0  0.501 ms ICMP
 4  62.115.36.54  4.492 ms ICMP
 5  62.115.137.65  77.595 ms ICMP
 6  62.115.162.235  471.407 ms ICMP
 7  23.34.190.140  74.116 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 151.101.194.217
 1  *
 2  172.241.166.188  0.383 ms ICMP
 3  173.208.113.6  2.172 ms ICMP
 4  38.122.158.197  1.610 ms ICMP
 5  38.104.44.122  0.979 ms ICMP
 6  151.101.194.217  1.105 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 76.74.234.210
 1  23.81.71.129  0.126 ms ICMP
 2  172.241.166.189  0.376 ms ICMP
 3  173.208.113.4  0.755 ms ICMP
 4  38.122.158.197  2.064 ms ICMP
 5  154.54.44.213  1.722 ms ICMP
 6  154.54.47.49  13.939 ms ICMP
 7  154.54.31.226  21.298 ms ICMP
 8  38.32.157.74  21.095 ms ICMP
 9  216.187.88.53  21.302 ms ICMP
10  216.187.113.171  20.941 ms ICMP
11  216.187.113.86  22.385 ms ICMP
12  76.74.234.210  21.305 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 89.39.104.171
 1  23.81.71.129  0.095 ms ICMP
 2  172.241.166.189  0.263 ms ICMP
 3  173.208.113.0  0.449 ms ICMP
 4  38.142.212.1  1.825 ms ICMP
 5  154.54.83.165  2.338 ms ICMP
 6  154.54.42.86  70.796 ms ICMP
 7  154.54.57.254  76.777 ms ICMP
 8  149.6.110.90  81.578 ms ICMP
 9  109.236.95.229  81.268 ms ICMP
10  89.39.104.171  81.135 ms [SYN-ACK]
tcp-traceroute from 23.81.71.154 to 104.120.79.103
