Server_IP	Test_IP	Max_Merge
186.2.163.90	62.115.137.65	0
125.209.222.141	27.111.228.165	0
184.95.52.107	108.170.0.37	0
52.76.61.123	52.93.10.71	0
40.114.106.174	104.44.21.208	0
54.251.99.37	52.93.10.77	0
210.140.92.141	158.205.95.54	0
104.125.30.56	23.210.52.35	0
3.1.243.221	203.83.223.17	0
140.82.113.4	98.124.190.162	0
159.65.89.65	138.197.251.143	0
18.204.109.174	52.93.28.242	0
35.154.204.153	52.95.67.212	0
54.239.26.220	52.93.28.146	0
87.240.190.64	87.240.191.210	0
77.88.55.55	80.81.192.251	0
15.206.140.100	52.95.67.176	0
34.243.71.240	150.222.248.110	0
23.46.170.210	195.2.24.185	0
40.118.6.229	104.44.22.216	0
107.20.236.24	52.93.29.10	0
117.27.136.118	202.97.50.161	0
104.244.42.133	80.81.194.21	0
118.193.98.63	180.149.128.197	0
104.121.244.222	80.231.131.82	0
35.196.247.55	216.239.49.133	0
188.213.242.147	213.248.95.194	0
79.127.127.29	185.233.140.109	0
104.103.244.222	23.210.49.39	0
3.212.215.225	52.93.28.238	0
52.6.111.61	52.93.28.204	0
54.239.18.174	52.93.28.200	0
52.6.73.22	52.93.28.170	0
3.123.97.17	54.239.43.249	0
18.232.195.40	52.93.28.112	0
23.199.146.33	74.82.46.50	0
185.39.10.97	184.105.81.110	0
3.122.88.25	54.239.43.251	0
23.8.190.172	180.87.15.6	0
18.136.214.23	203.83.223.33	0
95.100.130.87	134.0.220.173	0
63.35.17.160	150.222.241.76	0
216.165.47.10	128.122.254.116	0
3.123.224.110	54.239.43.251	0
188.166.223.195	27.111.229.164	0
54.225.175.129	52.93.28.248	0
13.35.20.107	52.93.9.189	0
142.93.213.69	138.197.249.23	0
176.34.107.91	150.222.240.42	0
54.144.83.42	52.93.28.192	0
195.8.215.136	203.135.5.69	0
54.144.14.206	52.93.28.190	0
52.22.194.220	52.93.28.162	0
203.104.153.16	27.111.228.165	0
119.235.235.13	27.111.228.165	0
34.197.172.53	52.93.28.74	0
34.247.148.60	150.222.241.216	0
23.15.33.218	180.87.15.6	0
23.67.57.88	184.105.222.101	0
54.88.232.23	52.93.28.176	0
54.209.16.180	52.93.28.254	0
202.58.60.194	202.58.36.118	0
168.235.67.115	80.91.254.36	0
34.196.252.163	52.93.28.86	0
18.235.224.167	52.93.28.142	0
3.224.3.59	52.93.28.76	0
18.140.242.149	203.83.223.21	0
66.39.83.155	4.7.80.10	0
23.66.151.206	202.84.153.26	0
34.243.168.176	150.222.241.86	0
107.23.149.50	52.93.28.134	0
186.2.163.228	62.115.137.65	0
23.15.33.200	180.87.15.6	0
3.223.138.242	52.93.29.18	0
52.48.101.234	150.222.248.94	0
100.24.172.113	52.93.28.226	0
203.104.138.138	27.111.228.165	0
18.205.93.1	52.93.28.172	0
217.20.147.1	80.81.194.112	0
3.210.137.66	52.93.28.238	0
52.219.62.118	52.95.67.176	0
18.185.191.84	54.239.43.249	0
128.199.46.144	213.248.68.169	0
122.226.73.53	220.188.121.78	0
52.58.28.12	54.239.43.251	0
3.228.90.217	52.93.28.146	0
54.93.78.41	54.239.43.251	0
192.243.59.20	63.218.219.46	0
54.156.236.159	52.93.28.162	0
176.34.179.218	150.222.241.212	0
54.179.174.200	203.83.223.17	0
52.77.21.98	203.83.223.21	0
34.201.204.59	52.93.28.110	0
104.197.69.102	142.250.59.93	0
34.246.144.185	54.239.44.144	0
18.204.99.116	52.93.28.146	0
54.235.145.223	52.93.28.192	0
216.92.14.11	4.7.80.10	0
18.210.165.84	52.93.28.206	0
52.214.145.233	150.222.241.76	0
49.51.44.61	213.248.70.187	0
34.197.137.120	52.93.28.140	0
96.17.194.27	180.87.15.202	0
96.7.98.179	202.84.157.37	0
52.204.49.208	52.93.28.230	0
17.172.224.47	17.172.1.135	0
3.6.97.109	52.95.65.129	0
52.210.122.219	52.93.128.232	0
54.84.228.58	52.93.28.214	0
18.141.78.84	203.83.223.31	0
35.156.222.67	54.239.43.251	0
23.215.196.122	180.87.15.202	0
54.159.197.5	52.93.28.248	0
23.215.196.29	180.87.15.202	0
34.205.91.16	52.93.29.44	0
34.206.2.235	52.93.28.238	0
52.204.49.208	52.93.28.236	0
23.14.206.224	65.49.109.190	0
185.178.208.185	62.115.137.65	0
35.154.241.130	52.95.67.212	0
35.193.55.160	209.85.245.37	0
137.221.106.104	137.221.105.17	0
35.163.21.228	150.222.242.177	0
34.225.39.192	52.93.28.108	0
3.93.251.178	52.93.28.158	0
23.8.176.60	180.87.15.6	0
34.246.221.211	150.222.240.42	0
13.126.2.13	52.95.67.176	0
192.243.59.13	63.218.219.46	0
40.114.166.29	104.44.22.222	0
23.10.227.202	180.87.15.202	0
185.26.182.104	149.6.60.218	0
3.222.1.38	52.93.28.204	0
54.251.103.25	203.83.223.192	0
52.77.2.236	52.93.10.71	0
3.7.198.108	52.95.67.180	0
52.6.22.199	52.93.28.82	0
52.200.199.187	52.93.28.76	0
107.180.71.144	148.72.36.53	0
34.226.231.254	52.93.28.234	0
23.215.196.52	180.87.15.202	0
184.26.196.231	110.93.252.172	0
185.178.211.4	62.115.136.195	0
139.59.65.231	202.56.198.30	0
3.230.13.201	52.93.28.208	0
77.88.55.77	80.81.192.251	0
186.2.163.219	62.115.137.65	0
180.153.255.122	124.74.166.130	0
193.30.41.215	185.109.142.70	0
3.215.139.146	52.93.28.234	0
59.110.149.245	116.251.94.18	0
104.121.245.199	80.231.131.82	0
52.165.129.203	172.16.36.134	0
