Server_IP	Test_IP	Max_Merge
172.67.134.151	27.111.228.132	0
104.27.166.106	110.93.192.198	0
151.101.192.155	27.111.228.34	0
23.34.190.140	80.249.209.208	0
192.0.66.88	27.111.228.209	0
104.16.208.71	185.1.15.41	0
104.28.21.89	110.93.192.198	0
195.47.247.8	80.81.193.119	0
104.27.128.96	110.93.192.198	0
104.27.132.58	110.93.192.198	0
104.19.155.33	185.1.15.41	0
31.216.147.130	149.6.66.198	0
104.22.76.166	27.111.228.132	0
104.31.86.222	110.93.192.198	0
76.76.21.21	52.93.69.24	0
104.18.188.55	185.1.15.41	0
104.18.131.225	185.1.15.41	0
76.74.234.210	154.54.44.162	0
104.20.2.51	110.93.192.198	0
94.237.57.11	100.69.2.115	0
151.101.194.137	27.111.228.34	0
104.26.10.239	110.93.192.198	0
104.18.12.167	110.93.192.198	0
8.20.73.150	4.59.141.110	0
104.18.3.159	110.93.192.198	0
40.74.245.188	203.135.5.69	0
104.18.14.41	110.93.192.198	0
107.154.251.68	27.111.229.74	0
104.20.59.241	110.93.192.198	0
204.74.99.100	195.229.29.158	0
104.18.44.219	110.93.192.198	0
99.83.161.79	52.93.69.136	0
104.16.100.12	185.1.15.41	0
172.67.177.12	27.111.228.132	0
172.67.207.6	27.111.228.132	0
192.0.66.32	27.111.228.209	0
104.16.51.212	110.93.192.198	0
172.67.30.148	27.111.228.132	0
104.17.94.209	185.1.15.41	0
35.201.118.58	216.239.51.115	0
151.101.128.84	27.111.228.34	0
104.27.152.130	110.93.192.198	0
104.18.11.107	110.93.192.198	0
172.67.68.78	27.111.228.132	0
151.101.65.111	27.111.228.34	0
104.28.7.161	110.93.192.198	0
104.17.2.6	110.93.192.198	0
104.26.2.2	110.93.192.198	0
104.20.23.46	110.93.192.198	0
104.20.39.240	110.93.192.198	0
219.164.251.192	58.65.165.42	0
52.165.135.234	58.65.165.42	0
104.20.39.71	110.93.192.198	0
172.67.166.193	27.111.228.132	0
104.17.46.52	185.1.15.41	0
77.74.178.29	172.16.36.134	0
104.27.147.178	110.93.192.198	0
151.101.194.137	27.111.228.34	0
104.22.0.111	110.93.192.198	0
204.79.197.212	58.65.173.13	0
172.67.141.125	27.111.228.132	0
192.0.66.24	27.111.228.209	0
43.245.43.59	202.68.67.134	0
146.20.176.192	134.0.220.105	0
104.20.160.69	110.93.192.198	0
192.0.66.184	27.111.228.209	0
104.20.139.65	110.93.192.198	0
72.142.24.195	58.65.173.13	0
104.31.13.180	110.93.192.198	0
104.20.31.130	110.93.192.198	0
172.64.101.12	27.111.228.132	0
98.158.60.206	58.65.173.13	0
104.16.43.54	110.93.192.198	0
207.135.71.184	58.65.165.42	0
104.28.23.206	110.93.192.198	0
104.26.1.26	110.93.192.198	0
85.233.202.179	58.65.173.13	0
104.18.241.115	185.1.15.41	0
104.26.1.105	110.93.192.198	0
104.16.172.17	185.1.15.41	0
69.164.223.139	173.255.239.53	0
151.101.130.166	27.111.228.34	0
104.64.16.106	80.249.209.208	0
23.21.228.154	172.16.36.134	0
45.79.137.62	173.255.239.5	0
151.101.66.133	27.111.228.34	0
104.26.5.64	110.93.192.198	0
185.12.49.12	80.81.196.174	0
104.16.92.83	185.1.15.41	0
172.67.68.156	27.111.228.132	0
35.190.29.187	172.253.51.131	0
172.67.36.146	27.111.228.132	0
104.18.231.83	185.1.15.41	0
104.26.7.10	110.93.192.198	0
151.101.66.137	27.111.228.34	0
104.18.46.64	110.93.192.198	0
123.57.253.206	11.220.137.121	0
104.26.13.39	110.93.192.198	0
130.211.9.113	216.239.51.123	0
13.107.6.156	58.65.173.13	0
151.101.193.54	27.111.228.34	0
104.17.8.12	110.93.192.198	0
104.26.10.152	110.93.192.198	0
104.26.1.57	110.93.192.198	0
151.101.2.166	27.111.228.34	0
172.64.166.23	27.111.228.132	0
172.67.71.36	27.111.228.132	0
162.125.248.1	162.125.86.141	0
151.101.2.114	27.111.228.34	0
104.20.53.56	110.93.192.198	0
172.67.20.219	27.111.228.132	0
172.67.73.7	27.111.228.132	0
151.101.10.217	27.111.228.34	0
23.2.16.107	36.255.56.102	0
35.227.216.47	172.253.51.133	0
172.67.16.48	27.111.228.132	0
216.239.32.21	108.170.227.189	0
104.26.12.70	110.93.192.198	0
172.67.19.54	27.111.228.132	0
209.58.185.195	43.249.36.15	0
104.26.7.205	110.93.192.198	0
104.26.13.58	110.93.192.198	0
104.20.6.160	110.93.192.198	0
35.227.233.104	216.239.51.113	0
104.20.16.40	110.93.192.198	0
172.67.70.182	27.111.228.132	0
172.67.177.128	27.111.228.132	0
94.237.53.171	100.69.6.67	0
151.101.8.144	27.111.228.34	0
151.101.129.69	27.111.228.34	0
104.18.57.125	110.93.192.198	0
104.20.58.102	110.93.192.198	0
104.22.57.156	27.111.228.132	0
40.117.154.240	203.135.5.69	0
104.22.69.66	27.111.228.132	0
151.101.66.166	27.111.228.34	0
104.22.16.101	27.111.228.132	0
104.16.253.70	110.93.192.198	0
104.26.14.238	110.93.192.198	0
151.101.1.154	27.111.228.34	0
151.101.129.181	27.111.228.34	0
151.101.194.110	27.111.228.34	0
104.27.39.116	110.93.192.198	0
104.26.2.245	110.93.192.198	0
104.16.14.194	185.1.15.41	0
104.18.126.77	185.1.15.41	0
172.64.129.21	27.111.228.132	0
204.135.8.175	58.65.165.42	0
104.22.67.194	27.111.228.132	0
104.22.21.173	27.111.228.132	0
151.139.128.8	151.139.84.8	0
40.117.188.126	58.65.165.42	0
104.26.5.139	110.93.192.198	0
91.189.88.181	212.113.8.154	0
