domains,dest_ip
gmx.net,82.165.229.87
iu.edu,129.79.123.149
llbean.com,104.120.79.103
sec.gov,23.34.190.140
naver.com,125.209.222.141
dji.com,13.35.183.58
google.ch,172.217.19.163
spiceworks.com,45.60.101.212
unacademy.com,52.76.61.123
2gis.ru,91.236.51.153
thehansindia.com,101.53.142.34
letras.com,177.54.157.200
naukrigulf.com,54.251.99.37
panopto.com,54.183.52.254
paisabazaar.com,13.71.27.154
cyberleninka.ru,94.130.219.154
telegraph.co.uk,13.224.66.37
hostgator.com,3.1.243.221
jianshu.com,107.150.101.156
vk.me,87.240.190.64
okta.com,18.204.109.174
265.com,172.217.19.3
bluestacks.com,13.35.183.89
jotform.com,35.201.118.58
ganji.com,154.8.241.69
google.com.vn,216.58.207.3
pscp.tv,35.154.204.153
cvent.com,192.190.92.17
gmanetwork.com,13.251.82.77
theweathernetwork.com,40.114.106.174
mapsofindia.com,15.206.140.100
wsws.org,5.135.200.4
newegg.com,104.120.64.97
vfsglobal.com,184.168.131.241
jd.com,118.193.98.63
tp-link.com,13.35.183.40
edureka.co,13.35.183.16
tvtime.com,13.35.183.35
exceljet.net,45.33.22.186
startpage.com,89.146.4.148
experian.com,205.174.34.33
virtualworldsland.com,107.20.236.24
giph-it.com,40.74.245.188
vectorstock.com,52.73.138.78
skribbl.io,193.70.6.186
windows.net,40.113.200.201
yasdl.com,79.127.127.29
theage.com.au,13.35.183.78
faz.net,40.118.6.229
bitrix24.com,18.232.195.40
soundcloud.com,13.35.171.37
ilpost.it,13.35.183.84
monday.com,13.35.20.39
domestika.org,13.35.183.110
live.com,204.79.197.212
dailystar.co.uk,34.243.71.240
teamtreehouse.com,18.211.40.93
slideplayer.com,88.99.70.210
cutestat.com,103.111.79.79
ups.com,153.2.228.50
mango.com,13.35.183.19
meteoblue.com,77.73.245.170
thinkific.com,35.196.247.55
native-instruments.com,85.158.3.21
miniclip.com,13.35.183.118
goodreads.com,54.239.26.220
worldatlas.com,146.20.176.192
uwo.ca,129.100.0.79
constantcontact.com,208.75.122.14
pantip.com,139.99.68.204
blender.org,82.94.226.104
quizizz.com,13.35.183.27
flypgs.com,194.140.227.49
eskimi.com,92.62.130.180
ibb.co,51.81.57.189
ebay.fr,66.135.195.175
video-browse.com,52.165.135.234
rapidtables.com,45.79.137.62
evernote.com,35.190.29.187
intel.cn,13.91.95.74
society6.com,104.64.16.106
levi.com,95.100.130.87
filepuma.com,54.225.175.129
atlassian.com,18.136.214.23
ebay.de,66.135.196.249
amazon.com.mx,54.239.18.174
systemrequirementslab.com,3.212.215.225
dropbox.com,162.125.248.1
wixmp.com,23.236.62.147
mcdonalds.com,52.6.111.61
gofundme.com,52.6.73.22
xero.com,13.35.183.97
cardinalcommerce.com,23.21.228.154
time.com,13.35.20.107
reclameaqui.com.br,107.154.102.99
duden.de,3.123.97.17
postermywall.com,54.144.83.42
indiatoday.in,23.2.16.107
icims.com,52.207.139.125
coreldraw.com,54.144.14.206
goo.gl,172.217.19.14
techsmith.com,45.60.122.187
printfriendly.com,35.227.216.47
material.io,216.239.32.21
office.com,13.107.6.156
gutefrage.net,3.122.88.25
act.org,13.35.183.25
cracked.com,13.224.66.76
hbr.org,13.35.183.14
