domains,dest_ip
ckk.ai,172.67.134.151
imgprime.com,104.27.166.106
denofgeek.com,192.0.66.88
handy-tab.com,89.39.104.171
moonbitcoin.cash,104.28.21.89
worldofsolitaire.com,184.95.52.107
fossbytes.com,104.27.128.96
sec.gov,23.34.190.140
totalsportek.com,104.31.86.222
kprofiles.com,104.27.132.58
goat.com,104.22.76.166
todocoleccion.net,104.20.2.51
futurism.com,76.76.21.21
movieweb.com,104.18.12.167
waploaded.com,104.26.10.239
nhl.com,8.20.73.150
google.ch,172.217.19.163
imore.com,104.18.14.41
mailerlite.com,104.18.3.159
robotcaptcha.info,5.8.34.183
amadeus.com,107.154.251.68
pximg.net,210.140.92.141
onenote.com,104.125.30.56
uptodate.com,199.107.238.205
feedly.com,104.20.59.241
cyberlink.com,99.83.161.79
pirateproxy.live,104.18.44.219
romsmania.cc,172.67.207.6
nypost.com,192.0.66.32
rbc.com,204.74.99.100
cut-urls.com,172.67.177.12
yandex.by,77.88.55.55
tripadvisor.co.uk,192.229.162.112
vk.me,87.240.190.64
samsclub.com,161.170.244.214
7-zip.org,159.65.89.65
265.com,172.217.19.3
23andme.com,104.16.51.212
getbootstrap.com,172.67.30.148
ibpsguide.com,104.27.152.130
jotform.com,35.201.118.58
google.com.vn,216.58.207.3
techjunkie.com,172.67.68.78
eveonline.com,104.18.11.107
53.com,23.46.170.210
twinfinite.net,104.26.2.2
fbdown.net,104.28.7.161
fragrantica.com,104.17.2.6
cointelegraph.com,104.20.39.71
hdmovieshub.net,172.67.166.193
iz.ru,185.165.123.185
whosampled.com,173.192.193.226
nodejs.org,104.20.23.46
adafruit.com,104.20.39.240
bc.vc,104.27.147.178
livestrong.com,104.103.244.222
planetminecraft.com,104.22.0.111
wsmmirror.info,172.67.141.125
metro.co.uk,192.0.66.24
hostinger.com,104.20.160.69
tinyurl.com,104.20.139.65
unimelb.edu.au,43.245.43.59
globalnews.ca,192.0.66.184
mangatown.com,104.31.13.180
igg-games.com,172.64.101.12
adguard.com,104.20.31.130
utdallas.edu,104.16.43.54
ebook3000.com,185.39.10.97
link.tl,104.28.23.206
dramakoreaindo.com,104.26.1.26
tetris.com,104.26.1.105
steampowered.com,23.50.188.222
clipwatching.com,104.26.5.64
wikidata.org,103.102.166.224
technopoint.ru,5.8.69.22
kickasstorrents.to,172.67.36.146
gamepress.gg,172.67.68.156
adfoc.us,104.26.7.10
rapidtables.com,45.79.137.62
evernote.com,35.190.29.187
society6.com,104.64.16.106
mirrorace.com,104.18.46.64
notebookcheck.net,104.26.13.39
levi.com,95.100.130.87
zalando.it,130.211.9.113
hide.me,188.166.223.195
beebom.com,104.17.8.12
tracker.network,104.26.1.57
brazzerssurvey.com,216.18.168.122
cointiply.com,107.170.230.203
remove.bg,172.67.71.36
rankedboost.com,104.26.10.152
scroll.in,142.93.213.69
dropbox.com,162.125.248.1
16personalities.com,172.64.166.23
armorgames.com,104.20.53.56
piliapp.com,172.67.20.219
game-debate.com,172.67.73.7
crackwatch.com,104.26.12.70
indiatoday.in,23.2.16.107
goo.gl,172.217.19.14
adf.ly,172.67.19.54
clixsense.com,172.67.16.48
printfriendly.com,35.227.216.47
material.io,216.239.32.21
topg.org,104.26.7.205
fboom.me,104.26.13.58
mindmeister.com,104.20.6.160
hskwq.com,209.58.185.195
blogger.com,216.58.208.233
softonic.com.br,35.227.233.104
jamanetwork.com,173.254.190.147
opinionsample.com,185.61.153.95
uploaded.net,81.171.123.200
king.com,5.154.247.1
islcollective.com,172.67.70.182
oyorooms.com,88.221.225.66
freelogoservices.com,198.55.254.91
renderforest.com,104.20.16.40
gamepedia.com,172.67.177.128
moonliteco.in,104.18.57.125
sofascore.com,104.20.58.102
ucweb.com,168.235.203.203
draw.io,104.22.57.156
smallseotools.com,104.22.69.66
audacityteam.org,104.22.16.101
tripadvisor.jp,192.229.189.15
androidmtk.com,104.26.14.238
infobae.com,23.67.57.88
truthfinder.com,104.16.253.70
viber.com,23.66.151.206
vg.no,195.88.54.16
uploadfiles.io,104.27.39.116
letsrun.com,104.26.2.245
techcrunch.com,152.195.50.33
nchsoftware.com,66.39.83.155
google.co.th,216.58.208.227
wnd.com,172.64.129.21
toneden.io,104.22.67.194
asianwiki.com,104.22.21.173
ojooo.com,104.26.5.139
sciencedirect.com,162.159.130.81
fontawesome.com,151.139.128.8
chordify.net,104.22.13.119
douploads.com,104.27.160.157
infusionsoft.com,104.18.14.116
todaysnews.live,104.26.3.132
adsupplyads.net,104.26.3.12
