tcp-traceroute from 58.65.173.14 to 95.216.247.80
 1  58.65.173.13  0.436 ms ICMP
 2  172.16.36.130  0.970 ms ICMP
 3  58.65.165.42  0.876 ms ICMP
 4  119.63.136.181  0.826 ms ICMP
 5  110.93.255.226  20.216 ms ICMP
 6  110.93.255.168  19.747 ms ICMP
 7  110.93.253.188  151.897 ms ICMP
 8  80.81.192.98  152.041 ms ICMP
 9  213.239.224.169  170.480 ms ICMP
10  213.239.224.146  173.477 ms ICMP
11  95.216.247.80  172.777 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 172.67.134.151
 1  58.65.173.13  0.346 ms ICMP
 2  172.16.36.130  0.912 ms ICMP
 3  58.65.165.42  0.942 ms ICMP
 4  119.63.136.181  1.072 ms ICMP
 5  110.93.252.99  21.235 ms ICMP
 6  110.93.252.146  19.604 ms ICMP
 7  27.111.228.132  101.698 ms ICMP
 8  172.67.134.151  100.734 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.27.166.106
 1  58.65.173.13  0.427 ms ICMP
 2  172.16.36.130  0.755 ms ICMP
 3  58.65.165.42  0.950 ms ICMP
 4  119.63.136.181  0.744 ms ICMP
 5  110.93.255.226  20.739 ms ICMP
 6  110.93.255.168  19.701 ms ICMP
 7  110.93.192.198  20.238 ms ICMP
 8  104.27.166.106  20.634 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 192.0.66.88
 1  58.65.173.13  0.406 ms ICMP
 2  172.16.36.130  0.957 ms ICMP
 3  58.65.165.42  0.866 ms ICMP
 4  119.63.136.181  3.196 ms ICMP
 5  110.93.255.226  20.223 ms ICMP
 6  110.93.252.172  19.935 ms ICMP
 7  27.111.228.209  99.215 ms ICMP
 8  192.0.66.88  100.395 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 89.39.104.171
 1  58.65.173.13  0.394 ms ICMP
 2  172.16.36.130  0.871 ms ICMP
 3  58.65.165.42  0.888 ms ICMP
 4  119.63.136.181  0.760 ms ICMP
 5  110.93.252.99  18.060 ms ICMP
 6  110.93.252.190  19.616 ms ICMP
 7  110.93.255.175  141.771 ms ICMP
 8  80.81.195.203  148.100 ms ICMP
 9  109.236.95.102  148.426 ms ICMP
10  109.236.95.231  156.237 ms ICMP
11  89.39.104.171  152.520 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 151.101.65.171
 1  58.65.173.13  0.440 ms ICMP
 2  172.16.36.130  0.826 ms ICMP
 3  58.65.165.42  0.991 ms ICMP
 4  203.135.5.69  1.051 ms ICMP
 5  *
 6  27.111.228.34  105.147 ms ICMP
 7  151.101.65.171  103.676 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 82.165.229.87
 1  58.65.173.13  0.307 ms ICMP
 2  172.16.36.130  0.722 ms ICMP
 3  58.65.165.42  0.925 ms ICMP
 4  203.135.5.69  1.122 ms ICMP
 5  *
 6  80.81.193.123  194.250 ms ICMP
 7  212.227.120.168  197.312 ms ICMP
 8  212.227.121.212  197.913 ms ICMP
 9  82.165.229.87  193.383 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 151.101.1.195
 1  58.65.173.13  0.429 ms ICMP
 2  172.16.36.130  0.804 ms ICMP
 3  58.65.165.42  0.928 ms ICMP
 4  203.135.5.69  1.081 ms ICMP
 5  *
