,dest_ip,dest_location,mda_not_done,mda_not_complete,cdn,n-1_ip,n-1_location,n-1_distance,n-2_ip,n-2_location,n-2_distance,n-3_ip,n-3_location,n-3_distance,n-4_ip,n-4_location,n-4_distance
academic.ru,95.216.247.80,UA,FALSE,FALSE,False,213.239.224.146,DE,1,213.239.224.169,DE,2,80.81.192.98,DE,NOT_FOUND,110.93.253.188,PK,NOT_FOUND
ckk.ai,172.67.134.151,US,FALSE,FALSE,True,27.111.228.132,SG,NOT_FOUND,110.93.252.146,PK,NOT_FOUND,110.93.252.99,PK,NOT_FOUND,119.63.136.181,PK,NOT_FOUND
imgprime.com,104.27.166.106,US,FALSE,FALSE,True,110.93.192.198,PK,NOT_FOUND,110.93.255.168,PK,NOT_FOUND,110.93.255.226,PK,NOT_FOUND,119.63.136.181,PK,NOT_FOUND
denofgeek.com,192.0.66.88,US,FALSE,FALSE,False,27.111.228.209,SG,NOT_FOUND,110.93.252.172,PK,NOT_FOUND,110.93.255.226,PK,NOT_FOUND,119.63.136.181,PK,NOT_FOUND
handy-tab.com,89.39.104.171,RO,FALSE,FALSE,False,109.236.95.231,NL,1,109.236.95.102,NL,NOT_FOUND,80.81.195.203,DE,NOT_FOUND,110.93.255.175,PK,NOT_FOUND
businessinsider.com,151.101.65.171,US,FALSE,FALSE,True,27.111.228.34,SG,NOT_FOUND,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND,58.65.165.42,PK,NOT_FOUND
gmx.net,82.165.229.87,DE,FALSE,FALSE,False,212.227.121.212,DE,1,212.227.120.168,DE,2,80.81.193.123,DE,3,*,N/A,N/A
angular.io,151.101.1.195,US,FALSE,FALSE,True,27.111.228.34,SG,NOT_FOUND,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND,58.65.165.42,PK,NOT_FOUND
insider.com,151.101.194.217,US,FALSE,FALSE,True,27.111.228.34,SG,NOT_FOUND,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND,58.65.165.42,PK,NOT_FOUND
zing.vn,118.102.1.119,VN,FALSE,FALSE,False,118.102.0.142,VN,0,118.102.0.208,VN,1,113.171.250.165,VN,2,113.171.250.170,VN,3
splice.com,104.17.165.41,US,FALSE,FALSE,True,185.1.15.41,AE,NOT_FOUND,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND,58.65.165.42,PK,NOT_FOUND
moonbitcoin.cash,104.28.21.89,US,FALSE,FALSE,True,110.93.192.198,PK,NOT_FOUND,110.93.252.190,PK,NOT_FOUND,110.93.252.99,PK,NOT_FOUND,119.63.136.181,PK,NOT_FOUND
chess.com,198.8.89.138,US,FALSE,FALSE,True,172.83.43.55,ERR,1,69.174.20.70,US,2,89.149.182.217,FR,3,4.68.144.162,US,NOT_FOUND
r-project.org,137.208.57.37,AT,FALSE,FALSE,False,137.208.9.41,AT,1,193.171.13.18,AT,2,193.171.13.17,AT,NOT_FOUND,184.104.204.222,US,NOT_FOUND
zenmate.com,104.19.155.33,US,FALSE,FALSE,True,185.1.15.41,AE,NOT_FOUND,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND,58.65.165.42,PK,NOT_FOUND
jugem.jp,163.44.191.95,JP,FALSE,FALSE,False,157.7.41.218,JP,0,210.157.9.210,JP,1,133.130.12.58,JP,2,210.171.224.65,JP,NOT_FOUND
dolohen.com,139.45.195.41,US,FALSE,FALSE,False,89.19.36.65,ERR,1,87.245.234.113,GB,1,195.22.214.85,IT,NOT_FOUND,195.22.211.39,IT,NOT_FOUND
worldofsolitaire.com,184.95.52.107,US,FALSE,FALSE,False,*,N/A,N/A,108.170.0.37,US,NOT_FOUND,210.176.40.34,AU,NOT_FOUND,202.40.149.177,HK,NOT_FOUND
fossbytes.com,104.27.128.96,US,FALSE,FALSE,True,110.93.192.198,PK,NOT_FOUND,110.93.255.168,PK,NOT_FOUND,110.93.255.226,PK,NOT_FOUND,119.63.136.181,PK,NOT_FOUND
bayt.com,209.251.59.181,CA,FALSE,FALSE,False,66.135.117.217,CA,1,66.135.117.118,CA,2,38.104.159.14,US,3,154.54.42.89,US,NOT_FOUND
popularmechanics.com,151.101.192.155,US,FALSE,FALSE,True,27.111.228.34,SG,NOT_FOUND,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND,58.65.165.42,PK,NOT_FOUND
iu.edu,129.79.123.149,US,FALSE,FALSE,False,134.68.3.129,US,1,149.165.183.14,US,2,38.101.160.251,US,3,*,N/A,N/A
llbean.com,104.120.79.103,US,FALSE,FALSE,True,*,N/A,N/A,182.79.211.35,IN,2,27.111.228.40,SG,NOT_FOUND,*,N/A,N/A
codeproject.com,76.74.234.210,US,FALSE,FALSE,False,216.187.113.86,US,1,216.187.120.132,US,2,216.187.88.53,US,3,38.32.157.74,US,4
etoro.com,23.9.22.6,US,FALSE,FALSE,True,*,N/A,N/A,182.79.217.72,IN,2,27.111.228.40,SG,NOT_FOUND,110.93.252.146,PK,NOT_FOUND
poki.com,104.16.208.71,US,FALSE,FALSE,True,185.1.15.41,AE,NOT_FOUND,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND,58.65.165.42,PK,NOT_FOUND
sec.gov,23.34.190.140,NL,FALSE,FALSE,True,80.249.209.208,NL,NOT_FOUND,202.125.134.22,PK,NOT_FOUND,*,N/A,N/A,*,N/A,N/A
totalsportek.com,104.31.86.222,US,FALSE,FALSE,True,110.93.192.198,PK,NOT_FOUND,110.93.252.190,PK,NOT_FOUND,110.93.252.99,PK,NOT_FOUND,119.63.136.181,PK,NOT_FOUND
one.com,195.47.247.8,DK,FALSE,FALSE,False,80.81.193.119,DE,NOT_FOUND,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND,58.65.165.42,PK,NOT_FOUND
kprofiles.com,104.27.132.58,US,FALSE,FALSE,True,110.93.192.198,PK,NOT_FOUND,110.93.252.190,PK,NOT_FOUND,110.93.252.99,PK,NOT_FOUND,119.63.136.181,PK,NOT_FOUND
sci-hub.tw,186.2.163.90,BZ,FALSE,FALSE,False,*,N/A,N/A,*,N/A,N/A,62.115.137.65,ERR,NOT_FOUND,213.155.136.167,ERR,NOT_FOUND
unique-tutorials.info,185.233.185.53,ERR,FALSE,FALSE,False,*,N/A,N/A,77.120.1.174,UA,2,77.120.1.94,UA,3,149.6.190.26,US,3
binomo.com,104.16.118.93,US,FALSE,FALSE,True,185.1.15.41,AE,NOT_FOUND,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND,58.65.165.42,PK,NOT_FOUND
goat.com,104.22.76.166,US,FALSE,FALSE,True,27.111.228.132,SG,NOT_FOUND,110.93.252.172,PK,NOT_FOUND,110.93.255.226,PK,NOT_FOUND,119.63.136.181,PK,NOT_FOUND
lanacion.com.ar,190.220.57.135,AR,FALSE,FALSE,False,200.49.95.73,AR,1,*,N/A,N/A,131.100.186.105,PY,3,62.115.41.58,ERR,4
championat.com,81.19.86.3,RU,FALSE,FALSE,False,*,N/A,N/A,*,N/A,N/A,81.19.64.83,RU,3,62.105.129.218,RU,NOT_FOUND
todocoleccion.net,104.20.2.51,US,FALSE,FALSE,True,110.93.192.198,PK,NOT_FOUND,110.93.252.190,PK,NOT_FOUND,110.93.252.99,PK,NOT_FOUND,119.63.136.181,PK,NOT_FOUND
futurism.com,76.76.21.21,US,FALSE,FALSE,False,52.93.69.24,US,NOT_FOUND,99.82.180.224,US,NOT_FOUND,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND
mega.co.nz,31.216.147.130,LU,FALSE,FALSE,False,149.6.66.198,US,NOT_FOUND,154.25.12.70,US,2,154.54.78.98,US,3,130.117.50.165,ERR,NOT_FOUND
movieweb.com,104.18.12.167,US,FALSE,FALSE,True,110.93.192.198,PK,NOT_FOUND,110.93.252.190,PK,NOT_FOUND,110.93.252.99,PK,NOT_FOUND,119.63.136.181,PK,NOT_FOUND
ku.edu,129.237.11.76,US,FALSE,FALSE,False,*,N/A,N/A,129.237.13.20,US,2,*,N/A,N/A,129.237.2.142,US,4
livecareer.com,104.109.84.214,US,FALSE,FALSE,True,80.81.192.28,DE,1,*,N/A,N/A,203.135.5.69,PK,NOT_FOUND,58.65.165.42,PK,NOT_FOUND
naver.com,125.209.222.141,KR,FALSE,FALSE,True,*,N/A,N/A,*,N/A,N/A,*,N/A,N/A,*,N/A,N/A
