163.com 123.58.180.7,123.58.180.8
1688.com 140.205.174.2
3dmgame.com 183.131.158.123
adobe.com 23.45.119.204,23.45.119.216
alibaba.com 47.246.131.30,47.246.131.55
amazon.co.jp 52.119.168.48,52.119.164.121,52.119.161.5
amazon.co.uk 54.239.34.171,178.236.7.220,54.239.33.58
amazon.de 54.239.39.102,52.95.120.34,176.32.108.185
amazon.fr 52.95.120.39,52.95.116.113,54.239.33.91
amazon.in 54.239.33.92,52.95.120.67,52.95.116.115
amazon.it 54.239.33.83,52.95.120.36,52.95.116.114
amazonaws.com 72.21.210.29,207.171.166.22,72.21.206.80
aparat.com 185.147.178.13,185.147.178.12,185.147.178.14,185.147.178.11
apple.com 17.253.144.10
ask.com 151.101.70.114
avito.ru 146.158.52.24,146.158.54.24,146.158.48.24
babytree.com 60.205.255.187
baidu.com 39.156.66.10,110.242.68.66
banglarbhumi.gov.in 164.100.199.139
bankofamerica.com 171.159.228.150,171.161.148.150
bbc.co.uk 151.101.0.81,151.101.64.81,151.101.128.81,151.101.192.81
bbc.com 151.101.0.81,151.101.64.81,151.101.128.81,151.101.192.81
bet365.com 5.226.179.10
bet9ja.com 185.179.62.2
bihar.gov.in 123.63.38.145,164.100.130.105
bikereddint.info 3.141.96.53,3.20.137.44
bilibili.com 47.103.24.173,119.3.70.188,139.159.241.37,8.134.50.24
blogger.com 142.250.191.137
bongacams.com 195.85.23.88,195.85.23.89
booking.com 13.226.22.120,13.226.22.47,13.226.22.30,13.226.22.122
bukalapak.com 45.60.241.175,45.60.251.175
caijing.com.cn 122.200.86.164
canva.com 104.17.239.159,104.16.224.149
cg.gov.in 164.100.150.66
chase.com 159.53.84.126,159.53.85.137,159.53.42.11,159.53.224.21,159.53.113.168,159.53.116.62,159.53.44.60
chaturbate.com 104.18.100.40,104.18.101.40
china.com.cn 202.130.245.42
cnblogs.com 101.37.97.51
cnet.com 34.149.196.126
cnn.com 151.101.131.5,151.101.67.5,151.101.3.5,151.101.195.5
craigslist.org 208.82.237.129
cricbuzz.com 35.200.167.142
csc.gov.in 164.100.115.10
dailymotion.com 195.8.215.136
data.gov.in 164.100.61.218
daum.net 121.53.105.193,211.249.220.24
dawmal.com 139.45.197.237
delhi.gov.in 182.74.205.45
deloplen.com 139.45.197.238
detail.tmall.com 61.174.43.211,61.174.43.210
detik.com 103.49.221.211,203.190.242.211
deviantart.com 108.156.91.26,108.156.91.52,108.156.91.119,108.156.91.70
digikala.com 185.188.104.10
discordapp.com 162.159.134.233,162.159.135.233,162.159.129.233,162.159.133.233,162.159.130.233
dolohen.com 139.45.197.236
douban.com 81.70.124.99,140.143.177.206,49.233.242.15
douyu.com 128.14.246.120
dropbox.com 162.125.248.18
dspmulti.com 139.45.195.206
duckduckgo.com 40.89.244.232
eastday.com 61.129.65.103,61.129.65.18,222.73.244.10
ebay-kleinanzeigen.de 3.78.7.130,3.77.159.230,3.127.0.23
ebay.co.uk 209.140.136.254,209.140.139.232,209.140.136.23,66.211.162.136,66.211.166.223,66.211.163.120
ebay.de 209.140.136.254,209.140.139.232,209.140.136.23,66.211.162.136,66.211.166.223,66.211.163.120
espn.com 99.84.160.55,99.84.160.10,99.84.160.68,99.84.160.8
etsy.com 151.101.1.224,151.101.65.224,151.101.129.224,151.101.193.224
ettoday.net 219.85.79.131
ewaybillgst.gov.in 164.100.78.248
exoclick.com 87.98.253.29
facebook.com 157.240.254.35
fandom.com 199.232.208.194,199.232.212.194
fc2.com 199.48.210.151
flipkart.com 103.243.32.90
freepik.com 35.190.81.132
gamepedia.com 151.101.128.194
gamersky.com 124.236.95.25
getadblock.com 104.22.42.139,172.67.27.164,104.22.43.139
github.com 140.82.113.3
globo.com 186.192.90.12
gloyah.net 3.141.96.53,3.20.137.44
gmw.cn 47.93.60.29
godaddy.com 208.109.192.70
google.ca 172.217.0.163
google.cn 142.250.191.163
google.co.in 142.250.191.131
google.co.jp 142.250.190.35
google.co.kr 142.250.191.227
google.co.th 142.250.191.131
google.co.uk 142.250.190.3
google.com 172.217.1.110
google.com.ar 142.250.190.35
google.com.br 142.250.191.195
google.com.hk 142.250.191.99
google.com.mx 142.250.191.195
google.com.sa 142.250.191.131
google.com.tr 172.217.4.35
google.com.tw 142.250.191.163
google.de 142.250.191.163
google.es 142.250.191.99
google.fr 142.251.32.3
google.it 172.217.5.3
google.pl 172.217.0.163
google.ru 172.217.0.163
hao123.com 110.242.69.86,39.156.68.154,124.237.176.248
heroesofrpg.com 103.224.212.211
hotstar.com 52.85.247.45,52.85.247.87,52.85.247.115,52.85.247.104
huanqiu.com 43.152.134.28
hulu.com 23.216.149.68,23.216.149.88
ifeng.com 82.156.59.186
